user_id,typing_style,condition,stimulus_index,wpm
106194,Non-touchtypist,Sentences,30,43.47038579967398
106194,Non-touchtypist,Sentences,31,47.86526813414094
106194,Non-touchtypist,Sentences,32,57.41626794258373
106194,Non-touchtypist,Sentences,33,62.54886630179827
106194,Non-touchtypist,Sentences,34,69.30407161420733
106194,Non-touchtypist,Sentences,35,61.11443978430198
106194,Non-touchtypist,Sentences,36,57.82526712759271
106194,Non-touchtypist,Sentences,37,51.71020737947752
106194,Non-touchtypist,Sentences,38,49.79253112033195
106194,Non-touchtypist,Sentences,39,69.6617869762746
106194,Non-touchtypist,Sentences,40,53.42831700801425
106194,Non-touchtypist,Sentences,41,76.22504537205081
106194,Non-touchtypist,Sentences,42,53.863417762103225
106194,Non-touchtypist,Sentences,43,57.28900255754475
106194,Non-touchtypist,Sentences,44,52.44755244755245
106194,Non-touchtypist,Sentences,45,56.293979671618445
106194,Non-touchtypist,Sentences,46,48.397367862449585
106194,Non-touchtypist,Sentences,47,65.04065040650406
106194,Non-touchtypist,Sentences,48,59.4059405940594
106194,Non-touchtypist,Sentences,49,59.1861898890259
120778,Non-touchtypist,Mix,0,37.3366521468575
120778,Non-touchtypist,Mix,1,49.361702127659576
120778,Non-touchtypist,Mix,2,26.46085997794928
120778,Non-touchtypist,Mix,3,58.226731363034844
120778,Non-touchtypist,Mix,4,49.10653389714909
120778,Non-touchtypist,Mix,5,34.24432005268357
120778,Non-touchtypist,Mix,6,42.073628850488355
120778,Non-touchtypist,Mix,7,45.09283819628647
120778,Non-touchtypist,Mix,8,36.63105314277786
120778,Non-touchtypist,Mix,9,32.391396035428095
120778,Non-touchtypist,Mix,10,36.088675030073894
120778,Non-touchtypist,Mix,11,37.86117568913981
120778,Non-touchtypist,Mix,12,34.2748333862266
120778,Non-touchtypist,Mix,13,41.124886604172964
120778,Non-touchtypist,Mix,14,38.762579202385396
120778,Non-touchtypist,Mix,15,43.51610095735422
120778,Non-touchtypist,Mix,16,58.46153846153846
120778,Non-touchtypist,Mix,17,36.841458921773295
120778,Non-touchtypist,Mix,18,44.32264982723699
120778,Non-touchtypist,Mix,19,24.283569423591615
120778,Non-touchtypist,Mix,20,29.83837546622462
120778,Non-touchtypist,Mix,21,39.40578577013292
120778,Non-touchtypist,Mix,22,45.55040067482075
120778,Non-touchtypist,Mix,23,39.20359982740554
120778,Non-touchtypist,Mix,24,66.46525679758308
120778,Non-touchtypist,Mix,25,38.16308357715303
120778,Non-touchtypist,Mix,26,38.04156393096161
120778,Non-touchtypist,Mix,27,52.37808549066827
120778,Non-touchtypist,Mix,28,40.770101925254814
120778,Non-touchtypist,Mix,29,56.77655677655678
120778,Non-touchtypist,Mix,30,56.88962176646398
120778,Non-touchtypist,Mix,31,52.327482830044694
120778,Non-touchtypist,Mix,32,45.90423426988523
120778,Non-touchtypist,Mix,33,43.956043956043956
120778,Non-touchtypist,Mix,34,46.841731724627394
120778,Non-touchtypist,Mix,35,44.45077646388374
120778,Non-touchtypist,Mix,36,37.267080745341616
120778,Non-touchtypist,Mix,37,31.635909532399054
120778,Non-touchtypist,Mix,38,38.12681309573146
120778,Non-touchtypist,Mix,39,47.008547008547005
120778,Non-touchtypist,Mix,40,34.84087102177555
120778,Non-touchtypist,Mix,41,53.05542396968261
120778,Non-touchtypist,Mix,42,44.6096654275093
